frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
0,-0.6096630096435547,-0.5910008907318115,0.023543864488601685,-0.6513472080230713,-0.622536838054657,-0.01611151173710823
1,-0.6041177868843078,-0.5346393346786499,0.020559515804052353,-0.6418732166290283,-0.5626694321632385,-0.017176898196339607
2,-0.5959482669830323,-0.4852335512638092,0.014269953593611717,-0.6339017510414123,-0.5157206535339356,-0.0203055702149868
3,-0.5886173248291016,-0.448903226852417,0.013554234988987446,-0.6264745354652405,-0.47507956624031067,-0.01764404959976673
4,-0.5778887391090393,-0.4190786361694336,0.01159326545894146,-0.6189902305603028,-0.44547535181045533,-0.014770673587918282
5,-0.5687155842781066,-0.39961710572242737,0.01023840345442295,-0.6104502439498901,-0.4249782204627991,-0.012044116854667664
6,-0.5604737758636474,-0.38702847957611086,0.008559687063097954,-0.6017496943473816,-0.41370558738708496,-0.010909085161983967
7,-0.5522831320762634,-0.3791845917701721,0.0073752193711698055,-0.5934430241584778,-0.4049250721931458,-0.008854560554027557
8,-0.5442437648773193,-0.3735001921653748,0.005949108395725489,-0.5850200891494751,-0.3993697643280029,-0.007656135130673647
9,-0.5342737913131714,-0.3670878648757935,0.005126447882503271,-0.5751586437225342,-0.39303942322731017,-0.006358955055475235
10,-0.5229509949684144,-0.360124397277832,0.004596685525029898,-0.5633192539215088,-0.38587326407432554,-0.004652603063732386
11,-0.5095412254333496,-0.3524761199951172,0.004030896816402674,-0.5502765536308288,-0.3763280868530273,-0.004012606106698513
12,-0.49580009579658507,-0.3455994725227356,0.0035409540869295597,-0.5363777279853821,-0.36779409646987915,-0.0035003414377570152
13,-0.48183164596557615,-0.3414178490638733,0.0033737835474312305,-0.522018826007843,-0.36102301478385923,-0.0034483098424971104
14,-0.46718219518661497,-0.3403587341308594,0.0021219919435679913,-0.5075889348983764,-0.3578359603881836,-0.0033244488295167685
15,-0.45201790928840635,-0.34158902168273925,0.0017999575939029455,-0.4938656151294708,-0.35728186964988706,-0.0027048029005527496
16,-0.4370825529098511,-0.34183725118637087,0.0012963953195139766,-0.47800685167312623,-0.35686147809028623,-0.00225276337005198
17,-0.4220575034618378,-0.33864092230796816,0.002087625674903393,-0.4623543739318848,-0.3530032873153687,-0.001789140049368143
18,-0.40811543464660643,-0.33186951875686643,0.0018017221009358764,-0.4488808214664459,-0.34598182439804076,-0.0018265994731336832
19,-0.392993289232254,-0.32328113317489626,0.0002895510697271675,-0.4337075471878052,-0.33603639006614683,-0.0013966389233246446
20,-0.37887306809425353,-0.3114174723625183,-0.00254421541467309,-0.41835002303123475,-0.3224177658557892,-0.002866591326892376
21,-0.3558354914188385,-0.29542587995529174,-0.005566035397350788,-0.40034849047660825,-0.3038460433483124,-0.0037834946997463703
22,-0.33834784030914306,-0.28298859000205995,-0.009803862310945988,-0.3834955871105194,-0.2892301678657532,-0.0054730516858398914
23,-0.32094395756721494,-0.2750581383705139,-0.012523678131401539,-0.367052960395813,-0.27974237203598024,-0.004867177922278643
24,-0.3050581216812134,-0.2713760495185852,-0.01396023016422987,-0.3512932240962982,-0.2747316718101501,-0.004416767042130232
25,-0.29118863940238954,-0.2707915425300598,-0.01517222635447979,-0.3367333710193634,-0.2734390676021576,-0.003823464037850499
26,-0.27818575501441956,-0.2717608153820038,-0.016173118725419044,-0.323416656255722,-0.2733154773712158,-0.003609475214034319
27,-0.2658461153507233,-0.27390313148498535,-0.015930380672216415,-0.31172847747802734,-0.27470980286598207,-0.004034668207168579
28,-0.25585988759994505,-0.2759465992450714,-0.01539722178131342,-0.3016835808753967,-0.27604981064796447,-0.004544282332062721
29,-0.25107607841491697,-0.2774094879627228,-0.015462894923985004,-0.2975010395050049,-0.27600873708724977,-0.005019850563257933
30,-0.24651230573654176,-0.27633933424949647,-0.015008355490863323,-0.2927282452583313,-0.2740862011909485,-0.005924909841269255
31,-0.24297401010990144,-0.27496749758720396,-0.013794484548270702,-0.28952248096466066,-0.27174007296562197,-0.006650494411587715
