frame,rx,ry,rz,tx,ty,tz
0,-2.8849063690427577,0.014767160983131541,0.20870696971889416,-367.72521931137203,-75.67282365460552,1064.4052310901313
1,-2.9125585151271647,0.014985773863135321,0.16177342785470336,-369.1912499286913,-79.81966088497796,1089.3258773207092
2,-2.9143336290384867,-0.009334380440731725,0.16997047051699063,-369.57108016710595,-81.60117846967424,1107.0078009959875
3,-2.9283737130859904,-0.025666785363824496,0.1774972403228087,-366.60768428791226,-82.48125713935117,1118.7022261316786
4,-2.924249077832653,-0.04452751941255079,0.20713870499688716,-358.8252582322206,-81.63899605739755,1117.3484209440462
5,-2.946234484800681,-0.05588849497694922,0.20042752152931317,-354.60137137585934,-82.70866888087863,1133.1209582026584
6,-2.9495240078053038,-0.0605212576969681,0.1721431490456542,-347.8457264663887,-83.47537267006192,1142.1205525512432
7,-2.9571072447536633,-0.0634641066583544,0.21952618655581035,-338.9072097481041,-84.02489585082323,1137.1638497237186
8,-2.9707532195050823,-0.07013905132611062,0.21895863028410573,-329.7510151316058,-84.23377869622658,1133.3957644438974
9,-2.9738758947205146,-0.05801596202911239,0.20694668549552733,-323.4695815430107,-84.2468438640142,1136.3304742464595
10,-2.988377280948747,-0.04278532260892773,0.18974513032292628,-318.45782815666337,-84.77684215142261,1142.1415096198182
11,-2.980153310121592,-0.03197453297038753,0.18471508273308734,-316.9459943418983,-84.79247560715582,1156.4828568029534
12,-2.9761306798355798,-0.02518987555185633,0.1703108637562076,-314.06655406480905,-84.00599452310588,1165.2477176097138
13,-2.9558501873399083,-0.01145386459949043,0.1832607465013985,-312.6615334744392,-83.02263270234874,1175.2483245168216
14,-2.9648091718206393,0.0012649962856850511,0.20474068790875677,-309.7190836396049,-82.7812089303464,1175.394164159932
15,-2.957749509313665,0.01588565571338644,0.23214122618739436,-306.7112571226132,-82.04030863120012,1175.3093020794433
16,-2.9650738694230667,0.03208318500989274,0.21020061489960587,-306.78654016501116,-82.32059110093797,1189.2509372389898
17,-2.9622180562470954,0.03595573066423339,0.2583796423219793,-304.30298604322485,-81.32195411593595,1188.8867148392685
18,-2.954333493079026,0.051833509411803154,0.2937912578815051,-299.70974690674626,-80.01044581849109,1181.5144955218739
19,-2.951887837540832,0.05726946555131735,0.28795572887019993,-298.24893185894626,-79.68917516294626,1185.0126236752217
20,-2.9450342633240276,0.06514389345318776,0.2804882153381819,-297.62146206793955,-79.33773873601105,1189.5191771660682
21,-2.9417111404567535,0.07049542208848163,0.28841573180155994,-296.75735246031775,-79.28623757264566,1190.0795331871548
22,-2.9458603148212292,0.08046041631577501,0.26956022945117253,-296.6014269962079,-79.4332302260937,1193.4181145855505
23,-2.9403352780559477,0.09149351854821636,0.29114767154676796,-296.6984836147184,-79.1104336683241,1193.3832391980952
24,-2.941882108325965,0.10066671660084774,0.3337361596155175,-297.9322180862093,-78.91619845007311,1194.3632596205484
25,-2.9494174337091033,0.10605756133526807,0.3401335240951279,-300.1107159823559,-79.2536066629821,1202.0230178439176
26,-2.9523468990278787,0.11489039637890422,0.3547783502878453,-301.96821365741016,-79.63963538978705,1204.0863137195506
27,-2.9564432884942335,0.1066707497394046,0.37010637313030337,-302.0408545211383,-79.39999584909069,1195.1522652986055
28,-2.953959596661245,0.0954457671896466,0.428446190433364,-307.70379633587714,-80.44591820498171,1203.2721901916175
29,-2.9564486664555627,0.09148200234746638,0.465310307965587,-310.58970932787327,-80.99252513995359,1200.423328788786
30,-2.9642971613026217,0.08099543255678789,0.4980726233810256,-316.0567352396311,-82.5599562559982,1208.5925703083815
31,-2.9497496521876374,0.07584640753682256,0.5007382908474054,-316.9365552039751,-82.2369002442981,1203.5753442283244
32,-2.954739865809025,0.0801097995548026,0.5353173234145787,-318.4591322335213,-82.75235050439355,1200.8208754726509
33,-2.9668448624343666,0.08422303684375884,0.5453443215092444,-319.73135330995086,-83.13346031209133,1199.8553853685987
34,-2.9559999145379954,0.08223603869150738,0.5527144973052831,-319.87475123884406,-82.95494572416806,1195.4319543028228
35,-2.974571592891149,0.08727232574189822,0.5603973833893494,-320.093172967309,-83.38703326250771,1192.804990618233
36,-2.9614707160366964,0.07976450733989654,0.5648779687256054,-321.9398291498243,-83.6555003655567,1195.80749868172
37,-2.965358301174382,0.08032804216145753,0.5660233430101858,-324.95672621973176,-84.62250910131486,1202.6472490174674
38,-2.968915905639536,0.0766747644775531,0.5822398347227372,-325.3546874044956,-84.76652904463892,1198.0780116761898
39,-2.9713829066211357,0.06655233612738559,0.581970811761996,-325.4940005428558,-85.00651148257926,1194.7355457087301
40,-2.978126073483812,0.06530626354184128,0.5797747836041414,-326.1978503931252,-85.2765836569935,1194.402773723179
41,-2.978468895504448,0.07129076292223027,0.5738761702135606,-328.1453311095786,-85.44030131779733,1199.3382605641584
42,-2.976104397652684,0.07257575876185525,0.5659177007157484,-327.761721838504,-84.96156743100883,1198.1571633821613
43,-2.990866999623329,0.06980034040368865,0.5608531790585296,-330.93931480021877,-85.43166528643079,1208.9367828982306
44,-2.985015390275066,0.06996431309843461,0.5641021087153728,-332.8392442003343,-85.01260279715844,1213.1987714920456
45,-2.984309064852785,0.07331084134245375,0.5513109094771629,-332.8922163147189,-84.49954594396928,1212.6452322314185
46,-2.9737675022730343,0.07032444660501334,0.547647052347274,-333.0693891030743,-83.74955949623029,1211.0148651364677
47,-2.989136730022507,0.07356108955866827,0.5258677559840755,-334.75964107672775,-84.00168200486092,1215.572645246268
48,-2.9773464607311846,0.0686756805765727,0.5169668018003911,-333.8428734619164,-82.86212993041319,1211.2223693837943
49,-2.9955395514981924,0.06560837923712758,0.5140196080929144,-336.43261704447207,-83.58930308563842,1218.3640341103053
50,-2.9880640241895415,0.05041853562918142,0.48571678910195815,-338.83348240252536,-83.412693150515,1225.4076176515202
51,-2.9905153004609955,0.052055141533348635,0.49619382044381594,-338.7345145233354,-83.15511349257334,1222.360171089762
52,-2.9856989635042512,0.049980403406607005,0.4701162173266635,-339.25719976253555,-82.6810435703469,1224.634815024402
53,0.10460861524873434,2.301051425218491,0.05738903092459182,343.6852451381499,83.65248756907216,-1245.5181066443624
54,-2.9757076719830886,0.05441155222174034,0.43590188485852593,-334.1397189233975,-79.81504779010461,1213.310163420135
55,-2.9727766177861223,0.052164965841318016,0.4208541298690642,-333.1815427233432,-78.99436134825736,1219.7931626329023
56,-2.9784466503695555,0.05506197249034021,0.36232739515173334,-328.2270435288066,-77.45093730752042,1214.2151213299003
57,-2.9798841227914448,0.07509834439910362,0.30727844396033144,-327.3319480770585,-76.84413528178682,1224.228025368165
58,-2.974293012258774,0.07973189364296546,0.27252791390127507,-324.858965643019,-76.05235794351958,1224.0375947562784
59,-2.963575138592945,0.082773832818866,0.2485755263035188,-325.0644921903512,-75.8143901503292,1230.0137564989298
60,-2.9694359660708436,0.08762489237569043,0.2297920625445468,-323.87364392088045,-75.35206919785966,1227.379221154393
61,-2.9674801117174416,0.088329924358165,0.2456426150549488,-323.702294645059,-74.7185160095626,1225.0162480669896
62,-2.965205478367398,0.08265344343832977,0.2530184355885351,-322.2338433643982,-73.90857458745676,1218.905131785391
63,-2.971594575556323,0.08493877474670831,0.23863858152220477,-323.83478592757876,-74.06844314421677,1225.7255441687485
64,-2.9631571215824524,0.08559676075551134,0.24721617905573437,-324.3822120289526,-73.56598659958928,1227.794342375763
65,-2.9515697968078265,0.0806656805539779,0.24932660788742791,-325.10582122632303,-73.1560075050695,1231.6949572675096
66,-2.9569392784095156,0.08240151028136482,0.24030368025976076,-325.1088445182552,-73.14807791825055,1232.9912400654152
67,-2.9524655716078327,0.0863103920803773,0.25957634506856164,-324.3629178674627,-72.7143138924259,1229.5367982643202
68,-2.9524537084590317,0.08358182473262901,0.26323388079009313,-325.5945716856066,-73.0311802987438,1234.871515012347
69,-2.9469231922348,0.08312409090831709,0.2747540620761807,-325.34749103804324,-72.95380169769506,1234.0441220160988
70,-2.946540423515786,0.08583579041141563,0.2743739561026972,-325.4393277662248,-73.0983465238347,1236.0094433851025
71,-2.9476650454687032,0.08821038052546015,0.2756303852748781,-325.4581136063838,-73.09025226191959,1236.6333964852545
72,-2.9548866430399814,0.08506090121233158,0.3215866271978874,-325.35126771163624,-73.29991315423018,1233.7366249186887
73,-2.952006689616634,0.08123877043226464,0.3353740908317091,-324.9688362837601,-73.09040715075577,1232.822421357959
74,-2.941507778431001,0.07730357909029455,0.35623315574096537,-323.0021397518826,-72.82312054930888,1226.5748029617264
75,-2.9601026686444687,0.08784667846505062,0.36476557710272395,-320.7077981310681,-73.2296073149856,1221.1173397201046
76,-2.955399392523667,0.09487827574547544,0.35889305834777646,-320.1632613553808,-73.48394663525517,1222.1988486252342
77,-2.9456639362034567,0.10036451913224607,0.3686121369112651,-319.61280369313124,-73.33047099710438,1223.1916251913624
78,-2.950405565851337,0.10473760114992128,0.35516547699564077,-318.90004286609195,-73.50443924598454,1224.1321629118388
79,-2.9538357899487613,0.10765746075163275,0.36498077780509897,-317.1552830198206,-73.3586373167792,1219.3233622119808
80,-2.9482260112041896,0.10274022310186917,0.3750744176864756,-317.84315194691635,-73.3429862788822,1223.1086279356239
81,-2.9401859533867385,0.10226296579759545,0.3769048647568967,-317.5436313467207,-73.02542380265129,1223.3215626345282
82,-2.93290189621483,0.10094924656394694,0.3762171681797137,-316.7702036958697,-72.75429466104423,1222.4059722583418
83,-2.9192572440626487,0.0946966147829248,0.3663709844546605,-317.14849520283144,-72.55131248158554,1225.683548873533
84,-2.9203427835076248,0.0944918463681797,0.38960180180813186,-317.51774714731704,-72.79752432383307,1225.8586889455457
85,-2.9133745340621497,0.09424034949115025,0.39261065478615936,-318.87883347455994,-72.76680192176707,1230.6574075968686
86,-2.924895340357787,0.09255960016794101,0.41905429733007554,-318.0370194348811,-73.05731802029517,1224.9737397601816
87,-2.947606609280774,0.07938280774558573,0.4007286093280999,-318.07925842775285,-73.91108915023675,1225.7537471178393
88,-2.9613754321498784,0.07371599454093831,0.4275994382582944,-317.12734153977124,-74.83103906874585,1217.0234737293067
89,-2.9210719616486207,0.06668637478791048,0.46905345310021135,-317.8065993039083,-74.41204216414347,1208.2336739645234
90,-2.909422101177513,0.0520044392855229,0.4989670723319726,-316.1132126952752,-74.53729786951293,1195.9286686286896
91,-2.8914348982124087,0.05528821819913238,0.5172489052455517,-317.80990167220466,-74.74498361764006,1196.0643603491737
92,-2.896290190344791,0.054807939141748446,0.5061411837072032,-317.3037794577266,-75.01571077727606,1191.4315668984539
93,-2.8836972532024734,0.05807368510004051,0.49125820194549646,-316.9844752950783,-74.67368919720636,1190.0735134592624
94,-2.896420941847876,0.05781810242101931,0.49659593367804084,-317.63414372459545,-75.27336532302907,1192.0465318324011
95,-2.894267136357159,0.054326181972156745,0.4969150104755912,-317.5622572630938,-75.4552624920955,1191.7665349682034
96,-2.8906481758096745,0.05455368434576678,0.4952099583892613,-315.2979293976352,-75.12101603195447,1183.463784339217
97,0.13179638006849267,2.292544792173801,-0.0363201789921644,323.4132121871786,77.87069716343056,-1216.0529057441627
98,-2.8757622072394926,0.0621437811121162,0.515737994024242,-316.2492570895435,-74.63785062540428,1182.873386599656
99,-2.8871041502220036,0.06023217722910785,0.49787094130292786,-316.34571232022023,-74.80966974684756,1184.329060976873
100,-2.8664689629711058,0.07135773157984583,0.5065918089325343,-318.0908621049714,-74.59727580923914,1188.1508526774755
101,0.154186883613669,2.298122085322616,-0.05740677360695447,325.2956172561592,77.1477888749755,-1219.9792206748593
102,-2.8776106596553706,0.08385419015096221,0.5059050229671445,-317.680060547741,-74.41069567432,1182.764452869751
103,-2.8784869036204688,0.08382649077765103,0.4808357111560893,-316.4093060036824,-73.99728796905102,1178.6344442143832
104,-2.8659417964780185,0.08286912460280092,0.5128506500004999,-316.49094484669365,-73.36151766691977,1174.561240591731
105,-2.877073450844511,0.08838053499660445,0.5019568400379479,-318.4741355313862,-73.74433116277955,1179.4223272018555
106,-2.8745470407828537,0.0876173449975401,0.5119789915545921,-319.64691836961356,-73.85461934279641,1180.5706189468526
107,-2.8711606964602,0.08918466552329811,0.49669702526251863,-319.8723576516654,-73.62146927079401,1179.113002996717
108,-2.883291317141135,0.08757913171130534,0.490874936971116,-320.4533307396996,-73.90429953852885,1180.0776927436261
109,-2.870927729408616,0.08872973784426078,0.494272437496665,-323.3731002309531,-73.99498821769005,1185.0591729697264
110,-2.877876568878989,0.09753700791586764,0.5001091996288508,-323.36525009916454,-73.81868893819347,1181.9518268291272
111,-2.872952682427982,0.08657749214367429,0.4926283774277713,-324.3142372778124,-73.81771529337193,1180.9192924403274
112,-2.8747953720265382,0.09678659115163694,0.5021489498181332,-324.8408033683544,-73.2091596048493,1177.619787213768
