frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
7,-0.18119105696678162,-0.7597954750061036,0.0061547053046524525,-0.27771362066268923,-0.7168694615364075,0.044125840067863464
8,-0.2207840770483017,-0.687309992313385,-0.0010730935027822852,-0.3152993083000183,-0.6560489892959595,0.00688758073374629
10,-0.2674270927906036,-0.3896541714668274,-0.00714518316090107,-0.3465670466423035,-0.39091755747795104,0.018115175887942314
11,-0.2904026210308075,-0.3283079743385315,-0.015542813576757908,-0.36614392399787904,-0.331464022397995,0.011432753875851631
12,-0.31037092208862305,-0.2851840317249298,-0.017477262765169144,-0.38063822984695433,-0.2873304784297943,0.007683797739446163
13,-0.32599893808364866,-0.2555017590522766,-0.01918816938996315,-0.3954786956310272,-0.25568405389785764,0.004766012541949749
14,-0.3382385015487671,-0.22915440201759338,-0.022163091227412224,-0.39824411273002625,-0.2304502844810486,0.004047834780067205
15,-0.34548220038414,-0.21235294342041017,-0.022435491904616356,-0.4069089889526367,-0.21466141641139985,0.000746919889934361
16,-0.3494443714618683,-0.20367318391799927,-0.023384755477309227,-0.4130243003368378,-0.2044107586145401,0.0005128040793351829
17,-0.35295299291610716,-0.19872196912765502,-0.02460392564535141,-0.41516674757003785,-0.19911294281482697,-0.0002732013526838273
18,-0.3570370256900787,-0.19798139333724976,-0.023952029645442963,-0.41728238463401796,-0.19949036836624146,1.6851148529895e-06
19,-0.3596231281757355,-0.20425144731998443,-0.022861849516630173,-0.4188892126083374,-0.20350373387336732,-0.0017986655002459884
20,-0.3587984383106232,-0.21330579221248627,-0.022066624835133553,-0.41778507828712463,-0.21250130236148834,-0.002675625728443265
21,-0.35842756032943723,-0.21976772844791412,-0.020514121279120445,-0.4163853883743286,-0.22099440693855285,-0.0028512985445559025
22,-0.35544506311416624,-0.2254464656114578,-0.018848901614546776,-0.4129120886325836,-0.22779734134674073,-0.002866454655304551
23,-0.35175604224205015,-0.22995445728302003,-0.01756107807159424,-0.40670374035835266,-0.23362621963024138,-0.003200387116521597
24,-0.34777663350105287,-0.23784150183200836,-0.0171712227165699,-0.4017610490322113,-0.2427017569541931,-0.002571574179455638
25,-0.34386242628097535,-0.24769820272922516,-0.016713513061404228,-0.39657137393951414,-0.25288907885551454,-0.003645805176347494
26,-0.3398651421070099,-0.2543415427207947,-0.016844680532813072,-0.39225893616676333,-0.2584518939256668,-0.004889771342277527
27,-0.33645883202552795,-0.25955339074134826,-0.016566257923841476,-0.38809261918067933,-0.2641421973705292,-0.005457857623696327
28,-0.3334969639778137,-0.26443746089935305,-0.015605996362864971,-0.3837042510509491,-0.2697648644447327,-0.005857857875525951
29,-0.3301172494888306,-0.2689314305782318,-0.015643535181879997,-0.38010008335113527,-0.27522132992744447,-0.005853764712810516
30,-0.32523114085197447,-0.2734111785888672,-0.014388712123036385,-0.3743523120880127,-0.27957082986831666,-0.0063985539600253105
31,-0.31816346645355226,-0.2795951306819916,-0.013430142775177956,-0.36742826700210574,-0.2848579168319702,-0.004850572440773249
32,-0.3110166251659393,-0.2865550398826599,-0.01336487103253603,-0.35997132658958436,-0.2902828276157379,-0.004495096858590841
33,-0.3049283802509308,-0.2923991084098816,-0.012980763800442219,-0.35395201444625857,-0.2947256863117218,-0.00405970448628068
34,-0.300960111618042,-0.2971432268619537,-0.0130914356559515,-0.3490857720375061,-0.29762818813323977,-0.004121063277125359
35,-0.29884555339813235,-0.29959279894828794,-0.012017450295388699,-0.3474201560020447,-0.30006434917449953,-0.0034884305205196142
36,-0.2982474684715271,-0.3018142402172089,-0.011715627275407314,-0.34575260281562803,-0.3023518681526184,-0.00336169614456594
37,-0.2975266695022583,-0.30319162607192995,-0.01175600290298462,-0.344868129491806,-0.3044424593448639,-0.003587437327951193
38,-0.2969390034675598,-0.3056067764759064,-0.011438892222940922,-0.3440573215484619,-0.3066565692424774,-0.0035631281789392233
39,-0.2969565689563751,-0.30770826935768125,-0.011091344989836216,-0.3439485251903534,-0.3091065526008606,-0.003501193132251501
40,-0.2976058661937714,-0.3107239484786987,-0.010156923905014992,-0.3444568157196045,-0.3109968602657318,-0.003251951653510332
41,-0.2989308416843414,-0.3132407009601593,-0.01024216040968895,-0.34542309045791625,-0.31296402812004087,-0.0030316500924527645
42,-0.30072079300880433,-0.31438409090042113,-0.010077189654111862,-0.34672086238861083,-0.3131474256515503,-0.003284119302406907
43,-0.30254861116409304,-0.31531238555908203,-0.009923362173140049,-0.3482569992542267,-0.31440784931182864,-0.0026578502729535103
44,-0.3044585406780243,-0.31480381488800047,-0.00976861733943224,-0.3501835405826569,-0.3149970054626465,-0.0029612891376018524
45,-0.30622497797012327,-0.3144149363040924,-0.009545099921524525,-0.3518315076828003,-0.3150991201400757,-0.0031865653581917286
46,-0.3078180253505707,-0.3137859046459198,-0.008917495608329773,-0.3536702334880829,-0.31487632989883424,-0.0028272552881389856
47,-0.30957373380661013,-0.31481478810310365,-0.008549859747290611,-0.3556309461593628,-0.3160943567752838,-0.002319246530532837
48,-0.31067273020744324,-0.3168988347053528,-0.007100455928593874,-0.35692179799079893,-0.31844874620437624,-0.0019183236872777343
49,-0.3113949239253998,-0.3213101923465729,-0.005438446998596191,-0.35751785039901735,-0.32300981879234314,-0.0007283473387360573
50,-0.3108275294303894,-0.32805176377296447,-0.004108434543013573,-0.3576595544815063,-0.329345166683197,0.0005280887125991285
51,-0.310319596529007,-0.33645981550216675,-0.0030109742656350136,-0.3569866895675659,-0.33715844750404356,0.0012594888685271144
52,-0.3090820908546448,-0.34655648469924927,-0.0013494392624124885,-0.35579742193222047,-0.3465710818767548,0.00273712701164186
53,-0.3072750747203827,-0.356512176990509,-0.0001814356801332906,-0.3542565703392029,-0.3552180290222168,0.0034764274023473263
54,-0.3054267406463623,-0.365140825510025,-0.000722206779755652,-0.35217254757881167,-0.36299251317977904,0.003379825036972761
55,-0.30279387831687926,-0.3707301616668701,-0.00030324916588142514,-0.3499306321144104,-0.3682206094264984,0.003395003266632557
56,-0.3001761794090271,-0.3741293787956238,-0.0006358578684739769,-0.347852623462677,-0.3711297869682312,0.0039047517348080873
57,-0.29887057542800904,-0.3771194934844971,-0.0009535176213830709,-0.3458698093891144,-0.37244203090667727,0.003325140569359064
