frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
0,-0.39812302589416504,-0.37848957180976867,-0.015251449309289455,-0.4265886008739471,-0.3613779008388519,0.007324830163270235
1,-0.39542144536972046,-0.3789684891700745,-0.019037576392292976,-0.42690275311470033,-0.3619801700115204,0.009301663376390934
2,-0.3936946153640747,-0.3797418773174286,-0.01782982610166073,-0.4242810606956482,-0.36201239824295045,0.009903461672365665
3,-0.39240618944168093,-0.3800636649131775,-0.01798325777053833,-0.419826465845108,-0.36293086409568787,0.01041055005043745
4,-0.3898938536643982,-0.3785994708538055,-0.017268668860197067,-0.4176210880279541,-0.36298900842666626,0.010644759051501751
5,-0.3887703359127045,-0.37933326363563535,-0.017200620844960213,-0.41580620408058167,-0.3630918741226196,0.011304176412522793
6,-0.387277215719223,-0.37952353358268737,-0.01667770929634571,-0.41458184123039243,-0.36322672963142394,0.011216442100703716
7,-0.3861787438392639,-0.3792675077915192,-0.016746046021580696,-0.4129153311252594,-0.36375340819358826,0.010875554755330086
8,-0.3853660523891449,-0.3800770938396454,-0.017291203141212463,-0.4123678863048553,-0.36374996304512025,0.011104906909167767
9,-0.3847087800502777,-0.37911795973777773,-0.016964880749583244,-0.41161856055259705,-0.36402427554130556,0.011380553245544434
10,-0.38425183296203613,-0.3792719006538391,-0.01705450937151909,-0.41118807792663575,-0.36390089988708496,0.011485491879284382
11,-0.38420042395591736,-0.3789440870285034,-0.01701687090098858,-0.4112308382987976,-0.36414211988449097,0.011444466188549995
12,-0.38375248312950133,-0.37907353043556213,-0.01701219007372856,-0.4113359749317169,-0.36394944190979006,0.0111220208927989
13,-0.383970308303833,-0.37907229661941527,-0.01697254180908203,-0.4112508535385132,-0.3640777707099915,0.010807499289512634
14,-0.3833442270755768,-0.37876405119895934,-0.016873564571142197,-0.411641389131546,-0.36419618129730225,0.010465637780725956
15,-0.38311401605606077,-0.3783220648765564,-0.016631970182061195,-0.4117677330970764,-0.36420469284057616,0.01013096235692501
16,-0.3835191369056702,-0.37868703007698057,-0.01672973670065403,-0.4122827112674713,-0.36405959725379944,0.01015325915068388
17,-0.3834086537361145,-0.37888348698616026,-0.016213934868574142,-0.41300356984138487,-0.3639838874340057,0.010143381543457508
18,-0.3837091326713562,-0.3786927342414856,-0.01577635668218136,-0.41341338157653806,-0.36340798139572145,0.01053902693092823
19,-0.3837545454502106,-0.37858107686042786,-0.015586767345666885,-0.41417964100837706,-0.36357320547103883,0.010263937525451183
20,-0.38421412706375124,-0.37842734456062316,-0.015632202848792076,-0.415123051404953,-0.3640884876251221,0.009635111317038536
21,-0.38473103046417234,-0.3782974123954773,-0.014998171478509903,-0.4164685785770416,-0.3640036880970001,0.009632842615246773
22,-0.3851326465606689,-0.37825770378112794,-0.014810326509177685,-0.417887407541275,-0.36402297019958496,0.00975810457020998
23,-0.38566917181015015,-0.3785786271095276,-0.014326968230307102,-0.4187086820602417,-0.36399319767951965,0.009433643892407417
24,-0.3861852467060089,-0.37856307029724123,-0.014369698241353035,-0.41989555954933167,-0.36382372975349425,0.009338555857539177
25,-0.3865611433982849,-0.3786176025867462,-0.014083017595112324,-0.42094749212265015,-0.3641627788543701,0.009088599123060703
26,-0.3870268702507019,-0.37862597703933715,-0.013872832991182804,-0.4219236016273499,-0.36415708661079405,0.008892922662198544
27,-0.3873470306396484,-0.3787113964557648,-0.013915710151195526,-0.4232981622219086,-0.3635876178741455,0.008429407142102718
28,-0.3883090913295746,-0.3791671395301819,-0.01420698594301939,-0.4247310161590576,-0.3633611261844635,0.007428315002471209
29,-0.39042364358901976,-0.3793742299079895,-0.014094620011746883,-0.4274032235145569,-0.3642472982406616,0.007190970703959465
30,-0.391464501619339,-0.3795289218425751,-0.013619174249470234,-0.4289522647857666,-0.36449776887893676,0.0069753993302583694
31,-0.39240930080413816,-0.37916086316108705,-0.01399075984954834,-0.43034096956253054,-0.36452373266220095,0.006789856590330601
32,-0.39339410066604613,-0.37868169546127317,-0.013563893735408783,-0.4317059338092804,-0.36442493796348574,0.006624691188335419
33,-0.39461434483528135,-0.3790325105190277,-0.01348706241697073,-0.4339956521987915,-0.3644863486289978,0.00654162373393774
34,-0.39612786173820497,-0.3789880871772766,-0.01301670167595148,-0.43563897609710694,-0.364445823431015,0.006358262151479721
35,-0.3977091133594513,-0.3792511343955994,-0.012943965382874012,-0.4375010371208191,-0.3643891215324402,0.006164786405861378
36,-0.39874250292778013,-0.37941414713859556,-0.012506073340773582,-0.4392953276634216,-0.3640802621841431,0.0061237090267241
37,-0.4010252833366394,-0.37883015871047976,-0.012596762739121914,-0.4410399556159973,-0.3641647517681122,0.005639132112264633
38,-0.40224085450172425,-0.37927735447883604,-0.012538926675915718,-0.4431918144226074,-0.36415824890136717,0.005300862714648247
39,-0.40385159850120544,-0.37946946620941163,-0.012724089436233044,-0.44510006308555605,-0.36388116478919985,0.004883700981736183
40,-0.4052733778953552,-0.3790030062198639,-0.012464983388781548,-0.4465216398239136,-0.36367506384849546,0.004716303665190935
41,-0.4065498113632202,-0.37815449833869935,-0.012631085701286793,-0.4478959679603577,-0.3629820704460144,0.004898535553365946
42,-0.407517671585083,-0.37819852232933043,-0.012451726011931896,-0.448659211397171,-0.3628306448459625,0.005075144115835428
43,-0.40820730328559873,-0.37893826961517335,-0.012411377392709255,-0.4491808652877808,-0.3640324115753174,0.004980593454092741
44,-0.40936427712440493,-0.37904335260391236,-0.012586534023284912,-0.4503691136837006,-0.36428086161613465,0.0048666056245565414
45,-0.4104223668575287,-0.37942604422569276,-0.012771314941346645,-0.4516703367233276,-0.3647978246212006,0.005172948352992535
46,-0.4115412175655365,-0.38015170097351075,-0.012368316762149334,-0.4525696933269501,-0.36519211530685425,0.005282110068947077
47,-0.41247235536575316,-0.38068273663520813,-0.012676998041570187,-0.45340564250946047,-0.36599360704421996,0.005173386074602604
48,-0.4130301058292389,-0.3819073736667633,-0.012738575227558613,-0.45445207953453065,-0.36670679450035093,0.0053762891329824924
49,-0.4140584707260132,-0.38223986625671386,-0.01271652989089489,-0.45540565252304077,-0.3677867650985718,0.005817919038236141
50,-0.41491376161575316,-0.3826224148273468,-0.01267955917865038,-0.4560572922229767,-0.3680732727050781,0.006136101670563221
51,-0.41579062938690187,-0.3825069904327393,-0.012546551413834095,-0.4568264424800873,-0.3685750424861908,0.006475316360592842
52,-0.4168688118457794,-0.3824989855289459,-0.01271854992955923,-0.45766140818595885,-0.3686925947666168,0.006495385896414518
53,-0.4176633059978485,-0.38190109133720396,-0.012364734895527363,-0.4584589719772339,-0.3682732701301575,0.006690517067909241
54,-0.41876307129859924,-0.38220909237861633,-0.012337664142251015,-0.4591683506965637,-0.36934674382209776,0.0067259781062603
55,-0.4189403772354126,-0.381703519821167,-0.012228831648826599,-0.45954673290252684,-0.36956878900527956,0.006958990357816219
56,-0.41843620538711546,-0.3816252827644348,-0.012873383238911629,-0.45901183485984803,-0.3683594107627869,0.007041926961392164
57,-0.4177798628807068,-0.37986464500427247,-0.012536309659481049,-0.45797107815742494,-0.3675893902778625,0.007400175556540489
58,-0.41791488528251647,-0.3788233995437622,-0.012628464959561825,-0.4580718219280243,-0.36761614084243777,0.00757437152788043
59,-0.4182692885398865,-0.37871305346488954,-0.012620016001164913,-0.4581101477146149,-0.3673891305923462,0.00785097200423479
60,-0.4185911238193512,-0.3792299270629883,-0.012806092388927937,-0.4582739114761353,-0.3679130613803864,0.007834923453629017
61,-0.41894465684890747,-0.3794313073158264,-0.012463854625821114,-0.4582217037677765,-0.3681851625442505,0.008413424715399742
62,-0.41934400200843813,-0.3793223679065704,-0.012127083726227283,-0.458590567111969,-0.3685694634914398,0.008942187763750553
63,-0.4198055028915405,-0.37963364124298093,-0.01213353592902422,-0.4587562382221222,-0.3692075848579407,0.008574369363486767
64,-0.4202483892440796,-0.3798068046569824,-0.012284752912819386,-0.4588532209396362,-0.3694189965724945,0.008279778063297272
65,-0.4207305073738098,-0.37960687279701233,-0.012322476133704185,-0.45952818989753724,-0.36890143156051636,0.008394015021622181
66,-0.4211695671081543,-0.3795193672180176,-0.012192759662866592,-0.4598655879497528,-0.3690512001514435,0.008462358266115189
67,-0.42131766080856325,-0.37934868335723876,-0.011918865144252777,-0.460435289144516,-0.3687774360179901,0.008297337219119072
68,-0.42151345014572145,-0.3794541895389557,-0.012193555943667889,-0.46029905676841737,-0.3692741632461548,0.008458743803203106
69,-0.42205593585968015,-0.379509711265564,-0.011892575770616531,-0.46099538207054136,-0.36929593086242674,0.008278880268335342
70,-0.42468740344047545,-0.3815853774547577,-0.01148882508277893,-0.46313717365264895,-0.37171860933303835,0.008040210232138634
71,-0.4268562853336334,-0.3818584084510803,-0.011725060641765594,-0.4665814280509949,-0.3722886323928833,0.007215407676994801
72,-0.4295128583908081,-0.38381903171539306,-0.01202676072716713,-0.46930410265922545,-0.37299721837043764,0.007489129900932312
73,-0.43030036687850953,-0.3837751090526581,-0.011514296755194664,-0.4705707669258118,-0.37351802587509153,0.007665963377803564
74,-0.4308731913566589,-0.38398746252059934,-0.011300805024802685,-0.4720966637134552,-0.37377151250839236,0.007511635310947895
75,-0.43171995878219604,-0.3848213791847229,-0.01102584507316351,-0.4732605338096619,-0.3741342544555664,0.0071473573334515095
76,-0.4328276038169861,-0.38480899930000306,-0.009830152615904808,-0.4747969627380371,-0.374616414308548,0.0072797201573848724
77,-0.43351081013679504,-0.3852542698383331,-0.009668457321822643,-0.4765782058238983,-0.37448957562446594,0.007051012944430113
78,-0.4343413531780243,-0.3860765516757965,-0.009298060089349747,-0.4778062641620636,-0.374712610244751,0.006950352340936661
79,-0.4350829839706421,-0.38629238605499266,-0.008996400982141495,-0.47867469787597655,-0.37521352171897887,0.007023695390671492
80,-0.4367470681667328,-0.38635141849517823,-0.00920788012444973,-0.4803913116455078,-0.3755417108535767,0.006833307910710573
81,-0.43873255252838134,-0.38666186928749086,-0.009079397656023502,-0.48226144909858704,-0.3759203672409058,0.006893218029290438
82,-0.4407853662967682,-0.38675675392150877,-0.008493946865200996,-0.4841793656349182,-0.3769692122936249,0.0067993514239788055
83,-0.4423293828964233,-0.38799418807029723,-0.008362782187759876,-0.4867940843105316,-0.37781934142112733,0.006528512574732304
84,-0.44458584785461425,-0.38824578523635866,-0.007381819188594818,-0.48908085823059083,-0.3782870888710022,0.006341112311929464
85,-0.44722442626953124,-0.3886032342910767,-0.006533761974424124,-0.49130874276161196,-0.3792321979999542,0.006415794137865305
86,-0.448653918504715,-0.3892913401126862,-0.006457745097577572,-0.4942062497138977,-0.3802479386329651,0.006071189884096384
87,-0.4513077914714813,-0.3892949461936951,-0.006139518227428198,-0.4969045579433441,-0.38141887784004214,0.005907063838094473
88,-0.4539765477180481,-0.3905658483505249,-0.005351992789655924,-0.5009638428688049,-0.38273547887802123,0.00598877714946866
89,-0.45767090916633607,-0.39154993295669555,-0.0043525053188204765,-0.5046876788139343,-0.38436761498451233,0.00547203840687871
90,-0.46055423021316527,-0.3924261093139648,-0.0028473460115492344,-0.5074669003486634,-0.38677815198898313,0.005342618562281132
91,-0.4633638322353363,-0.3932079434394836,-0.002051005605608225,-0.5111152768135071,-0.3885724127292633,0.004990610294044018
92,-0.46517502069473265,-0.39374399185180664,-0.0013562665553763509,-0.513631284236908,-0.3892438471317291,0.0049623241648077965
93,-0.4681484818458557,-0.3946059823036194,-0.000533407786861062,-0.5162492275238038,-0.3906852245330811,0.004743801895529032
94,-0.4706993639469147,-0.39583976864814757,-0.000515174528118223,-0.5185276150703431,-0.3918906807899475,0.004610043950378895
95,-0.47293955087661743,-0.3971955955028534,0.00020402917289175093,-0.5213381767272949,-0.39327393770217894,0.004485959652811289
96,-0.47561693787574766,-0.39926519989967346,0.0008576595573686063,-0.5244941353797913,-0.3952842652797699,0.0042611584067344666
97,-0.4786295652389526,-0.40109407901763916,0.0013791760429739952,-0.5277549028396606,-0.39799888134002687,0.003944260533899069
98,-0.4825657069683075,-0.4036328375339508,0.00225196429528296,-0.5310208678245545,-0.40190293192863463,0.0033799458760768175
99,-0.4860764443874359,-0.40729695558547974,0.003489548107609153,-0.5345392823219299,-0.40491676330566406,0.0031948487740010023
100,-0.4888768494129181,-0.4087155818939209,0.0047990707680583,-0.537782621383667,-0.40814247727394104,0.003600480267778039
101,-0.492517751455307,-0.41186184883117677,0.005910689011216164,-0.5413927435874939,-0.41108829975128175,0.00417723972350359
102,-0.49653334021568296,-0.41453735828399657,0.006309480406343937,-0.5449355959892273,-0.41356649398803713,0.0037122576031833887
103,-0.4991192877292633,-0.41631197929382324,0.007119032554328442,-0.5484036326408386,-0.4156215190887451,0.004185013473033905
104,-0.5016719222068786,-0.41785666942596433,0.007406451273709536,-0.5516700625419617,-0.41769441962242126,0.0037703572306782007
105,-0.5051839590072632,-0.4200794756412506,0.007957070134580135,-0.5550125479698181,-0.4196132242679596,0.0037565219681710005
106,-0.5077432751655578,-0.421493136882782,0.008329220116138458,-0.5585484027862548,-0.42157408595085144,0.003926154691725969
107,-0.5109105706214905,-0.4227680742740631,0.008818704634904861,-0.5617874145507813,-0.42335686683654783,0.004015340004116297
108,-0.5140038132667542,-0.42376487851142886,0.009374173358082771,-0.565462863445282,-0.42440845966339114,0.0038546049036085606
109,-0.5178497791290283,-0.4248332858085632,0.009574653580784798,-0.5686572670936585,-0.424551910161972,0.0038652478251606226
110,-0.5209279298782349,-0.42635966539382936,0.01000174880027771,-0.5719192743301391,-0.4259981870651245,0.004086707253009081
111,-0.5258780121803284,-0.4280680775642395,0.010598164983093739,-0.5751026153564454,-0.4273455262184143,0.004272403661161661
112,-0.528851056098938,-0.4290672421455383,0.010418765246868134,-0.5780245423316955,-0.42900710701942446,0.003793797455728054
113,-0.5317833065986634,-0.4306764602661133,0.010938840918242931,-0.5811973929405212,-0.4302219033241272,0.003946251235902309
114,-0.5356718540191651,-0.43189375996589663,0.011355569586157799,-0.5846537590026856,-0.4314867079257965,0.003847647225484252
115,-0.5392403960227966,-0.4331440031528473,0.011615021154284477,-0.5878796219825745,-0.4321820974349976,0.0037932293489575386
116,-0.5423380732536316,-0.4342146933078766,0.012094082310795784,-0.5910327196121216,-0.43310359716415403,0.0039496407844126225
117,-0.5446622610092163,-0.4350006580352783,0.012428972870111465,-0.5934073209762574,-0.4337900340557098,0.004204146098345518
118,-0.5456484913825989,-0.43504629731178285,0.012542490847408772,-0.5952496528625488,-0.4345826685428619,0.004263253416866064
119,-0.5482444763183594,-0.43530918955802916,0.012378284707665443,-0.5979997754096985,-0.4350822150707245,0.004235097207129002
120,-0.5508038520812988,-0.4352386176586151,0.012432610616087914,-0.600515079498291,-0.4350057184696198,0.00443758862093091
121,-0.5529081106185914,-0.43520216941833495,0.012588446959853172,-0.6030015349388123,-0.4350538313388824,0.004567728377878666
122,-0.5555620789527893,-0.4350670754909515,0.012052967213094234,-0.6058112382888794,-0.4350553333759308,0.004336358513683081
123,-0.5583722710609436,-0.4349171698093414,0.011643227189779282,-0.6085444927215576,-0.4351823806762695,0.0041494220495224
124,-0.5612806439399719,-0.43479971289634706,0.011656727641820908,-0.6111337900161743,-0.435375851392746,0.004322089720517397
125,-0.5638755083084106,-0.4352195620536804,0.011423015967011452,-0.6138360857963562,-0.43592193722724915,0.004331720061600208
126,-0.5663721203804016,-0.4356397807598114,0.010672552511096,-0.6164841890335083,-0.43591695427894595,0.004267744719982147
127,-0.569394564628601,-0.43560304045677184,0.010227695107460022,-0.6196310520172119,-0.43607754111289976,0.003955957945436239
128,-0.5726482748985291,-0.43549601435661317,0.010093278251588345,-0.6238056778907776,-0.4363974094390869,0.003487419569864869
129,-0.5760561943054199,-0.4348436653614044,0.010242635384202003,-0.6268970251083374,-0.4357621133327484,0.00381993455812335
130,-0.5796268224716187,-0.4340603232383728,0.009816312231123447,-0.6295079827308655,-0.43531209230422974,0.003635423257946968
131,-0.582744014263153,-0.4334947824478149,0.009686038829386234,-0.6325018405914307,-0.43512282371520994,0.003034852212294936
132,-0.5853278756141662,-0.4322581887245178,0.009752475656569004,-0.6346486687660218,-0.43454364538192747,0.0028321114368736744
133,-0.5875359058380127,-0.43078327775001524,0.009102883748710155,-0.6365923762321473,-0.4332259237766266,0.0024212757125496864
134,-0.5892842650413513,-0.4288178086280823,0.008566075935959816,-0.6376955032348632,-0.4315779447555542,0.0016549688298255205
135,-0.590215516090393,-0.4269572377204895,0.008364458568394184,-0.6385347247123718,-0.43067618608474734,0.0014903480187058449
136,-0.5911079049110413,-0.4256248414516449,0.008197524584829807,-0.6393856763839721,-0.42942187190055847,0.002048587193712592
137,-0.5915515899658204,-0.42445716857910154,0.008061246946454048,-0.6400303721427918,-0.4285900056362152,0.0018941087182611227
138,-0.592074179649353,-0.4233220934867859,0.0077238488011062145,-0.6404690027236939,-0.42758832573890687,0.0011469118762761354
139,-0.5921502709388733,-0.42360756993293763,0.007787507958710194,-0.6405338287353516,-0.4269013822078705,0.001515341573394835
140,-0.5922087907791138,-0.4231618344783783,0.007838350720703602,-0.6412765264511109,-0.42762995362281797,0.0014581900322809815
141,-0.5918056726455688,-0.4233365297317505,0.008458561263978481,-0.6410092234611511,-0.42683318853378294,0.0023270209785550833
142,-0.5911020159721374,-0.4227385103702545,0.008292525075376034,-0.6405311226844788,-0.4265841543674469,0.002503511030226946
143,-0.5903116464614868,-0.4227012932300568,0.008455273695290089,-0.6401424765586853,-0.42634511590003965,0.002725594909861684
144,-0.5896650671958923,-0.4225201189517975,0.008325329050421715,-0.6398809313774109,-0.4258777916431427,0.0028330846689641476
145,-0.589362382888794,-0.4226038932800293,0.008207212202250957,-0.6396023154258728,-0.4255515694618225,0.003071133280172944
146,-0.589036476612091,-0.42201332449913026,0.00796046108007431,-0.6392723202705384,-0.4253068745136261,0.003306957660242915
147,-0.589154577255249,-0.42214285135269164,0.007712935097515583,-0.6391744613647461,-0.4249000668525696,0.0032480773515999317
148,-0.5895369648933411,-0.42187976837158203,0.007568784989416599,-0.6387662887573242,-0.4245009899139404,0.0037273813504725695
149,-0.5891921043395996,-0.4215533137321472,0.0078108953312039375,-0.639201307296753,-0.4245582282543182,0.004036527127027512
150,-0.5891448736190796,-0.42141619324684143,0.007380228955298662,-0.6392812967300415,-0.42475717663764956,0.0038983675185590982
151,-0.589216160774231,-0.4213408470153809,0.0076627652160823345,-0.6394482970237731,-0.42477002143859866,0.00415631290525198
152,-0.5881229639053345,-0.4198071599006653,0.006509678438305855,-0.6384225845336914,-0.4242868185043335,0.0037767363246530294
153,-0.586736536026001,-0.41923186779022215,0.005975027568638325,-0.636771810054779,-0.42423648238182066,0.004379338584840298
154,-0.58482666015625,-0.4178897440433502,0.0051804594695568085,-0.6340816259384155,-0.42286268472671507,0.004366076085716486
155,-0.5819598317146302,-0.4161143124103546,0.004135569557547569,-0.6329446196556091,-0.42191457748413086,0.00496745714917779
156,-0.5800234794616699,-0.4155981719493866,0.0031336790416389704,-0.629576051235199,-0.4205983579158783,0.005671465303748846
157,-0.5779058933258057,-0.41389859318733213,0.0027960462030023336,-0.6280542731285095,-0.41938607692718505,0.006163226440548897
158,-0.5764305114746093,-0.41265751123428346,0.0014980105916038156,-0.6260842680931091,-0.4177977919578552,0.005574917886406183
159,-0.5754461050033569,-0.41184391975402834,0.0008348557166755199,-0.6241646766662597,-0.4167632579803467,0.005645320750772953
160,-0.574697482585907,-0.4106184184551239,0.0005891890032216907,-0.6239680051803589,-0.41416906118392943,0.005923145916312933
161,-0.5726228713989258,-0.4088979423046112,0.0006127073429524899,-0.6221203804016113,-0.4123948633670807,0.006317363120615482
162,-0.5713819026947021,-0.4066483736038208,-0.00041029456770047545,-0.6225707411766053,-0.4094496488571167,0.006333661265671253
163,-0.5703455686569214,-0.4044106423854828,-8.856372005539015e-05,-0.6189135551452637,-0.4069626212120056,0.007257239427417517
164,-0.5688211679458618,-0.40241219401359557,-0.0014453236944973469,-0.6160345554351807,-0.40537082552909853,0.0063697779551148415
165,-0.5668810248374939,-0.4010493040084839,-0.002468689577654004,-0.613273310661316,-0.4037770628929138,0.006602589040994644
166,-0.5652180194854737,-0.3999941647052765,-0.003203558037057519,-0.6116594672203064,-0.40323885679245,0.007609286345541477
167,-0.5624340415000916,-0.39946575164794923,-0.0034074371214956045,-0.6063664436340332,-0.402984756231308,0.008991834707558155
168,-0.5589156746864319,-0.397962361574173,-0.0041122399270534515,-0.6092366218566895,-0.4007488667964935,0.010200981050729752
169,-0.5554120898246765,-0.3957092106342316,-0.005461196880787611,-0.6024611830711365,-0.3997386395931244,0.01023980975151062
170,-0.5506072402000427,-0.3940463066101074,-0.006165355443954468,-0.589332664012909,-0.3982463598251343,0.010745246894657612
171,-0.5468460083007812,-0.39273142218589785,-0.006463056430220604,-0.5860600113868714,-0.39812048673629763,0.010865192860364914
172,-0.5453903913497925,-0.3921785712242126,-0.007424602285027504,-0.5834112167358398,-0.39728296995162965,0.010887394659221172
173,-0.5440055370330811,-0.3920228183269501,-0.007548005785793066,-0.5825827479362488,-0.3956638276576996,0.011175430379807949
174,-0.5429554581642151,-0.3913901329040527,-0.008126787841320038,-0.5808398008346558,-0.39408602714538576,0.010816038586199284
175,-0.5424839854240417,-0.39087127447128295,-0.008568264544010162,-0.579345977306366,-0.3933958649635315,0.010666070505976677
176,-0.5421826481819153,-0.39077213406562805,-0.008644809015095234,-0.5780801892280578,-0.39328566789627073,0.0102158822119236
177,-0.5415720462799072,-0.39085036516189575,-0.009007931686937809,-0.578068196773529,-0.3928462266921997,0.010540282353758812
178,-0.54163156747818,-0.39096748232841494,-0.00900045596063137,-0.5775150299072266,-0.39270050525665284,0.010519035160541534
179,-0.5416017651557923,-0.39063478708267213,-0.008816288784146309,-0.5776536583900451,-0.3924450933933258,0.010957141406834126
180,-0.5418539762496948,-0.3906456410884857,-0.008996286429464817,-0.5775377154350281,-0.3923400342464447,0.010724700056016445
181,-0.5422720074653625,-0.38991924524307253,-0.008688081987202168,-0.5782270789146423,-0.39197701811790464,0.010778660885989666
182,-0.5425133347511292,-0.38959078788757323,-0.008504956029355526,-0.5791894912719726,-0.3917482852935791,0.01122910063713789
183,-0.5432429194450379,-0.3891920506954193,-0.00844122376292944,-0.5795463919639587,-0.39158636927604673,0.01116967760026455
184,-0.5439754366874695,-0.3887376070022583,-0.008692390285432339,-0.5804734706878663,-0.39152560830116273,0.01114196702837944
185,-0.54484943151474,-0.38896116614341736,-0.008550466038286686,-0.5820695519447326,-0.3909885823726654,0.011223466135561466
186,-0.546374773979187,-0.3888154089450836,-0.008038070984184742,-0.584111750125885,-0.39158564805984497,0.010896594263613224
187,-0.547402536869049,-0.3888030588626862,-0.007802532985806465,-0.586371123790741,-0.3917742967605591,0.010858418419957161
188,-0.5511675357818604,-0.3891853213310242,-0.007112789899110794,-0.5932476997375489,-0.39112540483474734,0.00980702880769968
189,-0.5598503470420837,-0.3916898787021637,-0.007130424026399851,-0.6031174302101135,-0.39169998168945314,0.006998998578637838
190,-0.5667819857597352,-0.39216312766075134,-0.00508564617484808,-0.6142713785171509,-0.3911166191101074,0.004862045869231224
191,-0.5764997482299805,-0.39211570620536806,-0.00241309916600585,-0.6242177248001098,-0.38939477801322936,0.0016148077556863427
192,-0.5845112323760986,-0.39209412336349486,0.00024348610895685852,-0.6314916014671326,-0.38890299797058103,0.00031275846413336694
193,-0.589694344997406,-0.39200220704078675,0.0020922559779137373,-0.6360506892204285,-0.38819906711578367,-0.0017721153562888503
194,-0.5928853750228882,-0.39193759560585023,0.004227046389132738,-0.6396879434585572,-0.38806504011154175,-0.0026901336386799812
195,-0.595628535747528,-0.3906713604927063,0.005491257645189762,-0.6417739033699036,-0.3870465874671936,-0.0032862713560462
196,-0.5968948125839233,-0.389948970079422,0.005289608146995306,-0.6430375456809998,-0.38641937375068663,-0.0043768854811787605
197,-0.5978256464004517,-0.3895940661430359,0.005988864693790674,-0.6437284588813782,-0.38612951040267945,-0.0038454392924904823
198,-0.5987297415733337,-0.3885089933872223,0.005973863415420055,-0.6443552374839783,-0.3857482373714447,-0.004069535061717033
199,-0.5987519741058349,-0.38788565397262575,0.005276301875710487,-0.6444401025772095,-0.3854616701602936,-0.004436671268194914
200,-0.5987228274345398,-0.3875010907649994,0.005138420965522528,-0.6444237232208252,-0.38496698141098024,-0.00466332770884037
201,-0.5986165761947632,-0.38692819476127627,0.005079683847725391,-0.6443647503852844,-0.38448357582092285,-0.004977878648787737
202,-0.59841388463974,-0.38646950721740725,0.005099854432046413,-0.6443035364151001,-0.3841443955898285,-0.004886194597929716
203,-0.5981843113899231,-0.3861375689506531,0.0052107274532318115,-0.6441284656524658,-0.38380261659622195,-0.005135651677846909
204,-0.5980425357818604,-0.38659910559654237,0.004978860728442669,-0.6438985347747803,-0.38390727043151857,-0.004863159731030464
205,-0.5975794553756714,-0.3864628791809082,0.004890277050435543,-0.6436642408370972,-0.3838662326335907,-0.004525219090282917
206,-0.5970739126205444,-0.3865575075149536,0.0049398248083889484,-0.6432194352149964,-0.383739298582077,-0.004685308784246445
207,-0.5966344356536866,-0.38652700185775757,0.005004984326660633,-0.6426839351654052,-0.383695113658905,-0.004434370435774326
208,-0.5963831186294556,-0.38859485387802123,0.005109460558742285,-0.6421287536621094,-0.3863991916179657,-0.004532402381300926
209,-0.5942205309867858,-0.3897706210613251,0.004736884031444788,-0.6420004487037658,-0.3869217813014984,-0.004734659567475319
210,-0.5946555256843566,-0.3905947506427765,0.005026713479310274,-0.641716194152832,-0.38745035529136657,-0.004768985789269209
211,-0.5941523909568787,-0.3909121096134186,0.004787922371178865,-0.6410669922828675,-0.38782421946525575,-0.004641586448997259
212,-0.5918766856193542,-0.3906494855880737,0.004612985998392105,-0.6407289385795594,-0.3883397042751312,-0.004683829843997955
213,-0.5923936367034912,-0.3908483266830444,0.0045033893547952175,-0.6399632811546325,-0.3886120080947876,-0.004196838475763798
214,-0.5927160620689392,-0.39124107360839844,0.004062258638441563,-0.6392114162445068,-0.388191020488739,-0.004449864383786917
215,-0.5912160515785218,-0.3911261796951294,0.0036990779917687178,-0.6384198427200317,-0.3887299239635468,-0.0043999128974974155
216,-0.5902836322784424,-0.39084150195121764,0.003540744073688984,-0.6375765204429626,-0.388043200969696,-0.004309887532144785
217,-0.5891767263412475,-0.39033396244049073,0.003399608889594674,-0.6366761445999145,-0.38699851632118226,-0.004163311328738928
218,-0.588711142539978,-0.38975406289100645,0.0029653534293174744,-0.63609938621521,-0.3864395976066589,-0.004002954810857773
219,-0.5878969311714173,-0.38944758772850036,0.0026601129211485386,-0.6353601098060608,-0.3865174949169159,-0.004031624179333448
220,-0.5871158838272095,-0.3890045464038849,0.0023433128371834755,-0.6346100568771362,-0.3864436745643616,-0.004139881581068039
221,-0.5870719194412232,-0.3892822086811066,0.0026572677306830883,-0.6342331290245056,-0.38666532635688783,-0.004194401204586029
