frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
0,-0.43330549001693724,-0.3130262494087219,-0.002689876826480031,-0.4755421578884125,-0.3256732583045959,0.0005147705669514835
1,-0.44224764704704284,-0.3166078805923462,-0.002031470648944378,-0.4841874301433563,-0.3312387943267822,-0.00023688675719313323
2,-0.4510762691497803,-0.3227315187454224,-0.0011990804923698306,-0.49349753856658934,-0.3369085490703583,0.00026759179309010506
3,-0.4599647641181946,-0.3288009285926819,-0.0005723104695789516,-0.5017673313617707,-0.3441902160644531,0.0007263307343237102
4,-0.46825342774391177,-0.3347896933555603,-0.00010419699538033456,-0.510274600982666,-0.35061094760894773,0.0007481389329768717
5,-0.4750971794128418,-0.34055720567703246,0.0004475906025618315,-0.5176308155059814,-0.3569368064403534,0.0007740849978290498
6,-0.48071776032447816,-0.3446658432483673,0.000992422690615058,-0.522167956829071,-0.36167041063308714,0.0008830030565150082
7,-0.4848725378513336,-0.3474702000617981,0.0011749250115826726,-0.5267869234085083,-0.3640476167201996,0.0009942270116880536
8,-0.48686078786849973,-0.348432457447052,0.0014397320337593555,-0.5287112474441529,-0.36582077145576475,0.001637451583519578
9,-0.48700498342514037,-0.34879053831100465,0.001545001519843936,-0.5294776558876038,-0.36672462821006774,0.00250441231764853
10,-0.4865721821784973,-0.35045763850212097,0.0014801000943407416,-0.5289924740791321,-0.3687753021717072,0.003010156797245145
11,-0.48398369550704956,-0.35274268984794616,0.0011170782381668687,-0.5265828609466553,-0.37058154344558714,0.0031825262121856213
12,-0.4812932550907135,-0.35326907634735105,0.0011211067903786898,-0.523678970336914,-0.37084009051322936,0.00269139907322824
13,-0.477374404668808,-0.3509998917579651,0.00050268170889467,-0.5198443770408631,-0.3683203935623169,0.0020590005442500114
14,-0.47196884751319884,-0.3482209205627441,0.0006351876654662192,-0.514635956287384,-0.3652019739151001,0.0022125616669654846
15,-0.4656967282295227,-0.3460621118545532,0.00036794200423173606,-0.5080003261566162,-0.3620757758617401,0.0021456286776810884
16,-0.45983585715293884,-0.3452581763267517,-0.00015164898650255054,-0.5017550408840179,-0.3593848466873169,0.00219547376036644
17,-0.4525531530380249,-0.34409093856811523,-0.0009824053850024939,-0.4949051797389984,-0.3578399896621704,0.002459034090861678
18,-0.44572424292564394,-0.3431360304355621,-0.001196327619254589,-0.48815948367118833,-0.3560380399227142,0.002803981536999345
19,-0.43892800211906435,-0.3424712121486664,-0.0014640276785939932,-0.4815357208251953,-0.35472814440727235,0.003514546202495694
20,-0.43247745633125306,-0.34141682386398314,-0.001633735024370253,-0.4754482567310333,-0.3534992575645447,0.003501113038510084
21,-0.42696998119354246,-0.3406352400779724,-0.002112286863848567,-0.46928144097328184,-0.351986026763916,0.0039417860098183155
22,-0.42163885831832887,-0.3393797814846039,-0.002478537615388632,-0.46413167715072634,-0.350395530462265,0.004283848684281111
23,-0.41711885333061216,-0.3382107615470886,-0.002634322503581643,-0.4590593338012695,-0.34916733503341674,0.004253568593412638
24,-0.4126049816608429,-0.3374834656715393,-0.002529789926484227,-0.4546480894088745,-0.34820516109466554,0.004230491351336241
25,-0.40846432447433473,-0.3372346043586731,-0.0028277116362005472,-0.4504415452480316,-0.34792853593826295,0.003989989869296551
26,-0.404182493686676,-0.3378010928630829,-0.00264134188182652,-0.4466152787208557,-0.34784799814224243,0.003886499209329486
27,-0.40117746591567993,-0.3387555480003357,-0.002703535370528698,-0.4433061718940735,-0.34937981367111204,0.003937946166843176
28,-0.3981199026107788,-0.3398132622241974,-0.0023907797876745462,-0.43948739767074585,-0.349300479888916,0.003957216627895832
29,-0.3946554958820343,-0.33963005542755126,-0.0021910781506448984,-0.4365086853504181,-0.34926214814186096,0.00423651235178113
30,-0.3915220141410828,-0.3396599590778351,-0.002121836179867387,-0.4333464801311493,-0.34889732003211976,0.004504823591560125
31,-0.3887378513813019,-0.3393722832202911,-0.0022785260807722807,-0.43078157901763914,-0.34886497259140015,0.004484216682612896
32,-0.3854712188243866,-0.3389688372612,-0.0024954169057309628,-0.42762444615364076,-0.34766095876693726,0.004804264288395643
33,-0.38313671946525574,-0.3390794098377228,-0.00243316194973886,-0.42559128999710083,-0.34695595502853394,0.005226887296885252
34,-0.3807621359825134,-0.3383880078792572,-0.002178870839998126,-0.4230631649494171,-0.3468319833278656,0.0053667910397052765
35,-0.3789034903049469,-0.3387069761753082,-0.002388574415817857,-0.42129976749420167,-0.34706189632415774,0.005362589843571186
36,-0.377150297164917,-0.3391144871711731,-0.0025300877168774605,-0.419441819190979,-0.34768140912055967,0.005329871084541082
37,-0.37607261538505554,-0.33942206501960753,-0.0026267035864293575,-0.4182756781578064,-0.34811272025108336,0.005416118074208498
38,-0.37514238357543944,-0.3395771920681,-0.002705743769183755,-0.41709738969802856,-0.3478258430957794,0.005673698149621487
39,-0.37416682839393617,-0.33931723833084104,-0.002292388118803501,-0.4163704335689545,-0.34770879745483396,0.0057095312513411045
40,-0.3738130390644073,-0.3394652545452118,-0.0023446185514330864,-0.4157593309879303,-0.3476533830165863,0.005355706438422203
41,-0.3730156123638153,-0.33982003927230836,-0.0018681903602555394,-0.4156854093074799,-0.3481066942214966,0.005139900837093592
42,-0.372635954618454,-0.33930066227912903,-0.001829497516155243,-0.41565604209899903,-0.34791587591171264,0.0050940136425197124
43,-0.37259015440940857,-0.3388232886791229,-0.0016381252789869905,-0.41578022241592405,-0.34710760712623595,0.005120305810123682
44,-0.37258192896842957,-0.33813853859901427,-0.0018531701061874628,-0.41591155529022217,-0.34720771908760073,0.0048656458966434
45,-0.37296684384346007,-0.3383974671363831,-0.0015636458992958069,-0.41623881459236145,-0.34737802147865293,0.004860202316194773
46,-0.3735470473766327,-0.33867164254188536,-0.0012216974282637239,-0.4174831748008728,-0.34818434715270996,0.004657884128391743
47,-0.3744845509529114,-0.3391830861568451,-0.0005932935746386647,-0.41841288208961486,-0.34975481033325195,0.0046737175434827805
