frame,rx,ry,rz,tx,ty,tz
0,-2.810069245712737,-0.08903421672949742,-0.15680877885674993,35.172359105785596,-88.90517360352571,1034.2513547372428
1,-2.8878495516228124,-0.07835105102038674,-0.10695812116048771,27.064602583755907,-95.02416948525351,1053.8700266810963
2,-2.878102691128757,-0.050570594841817924,-0.22203565616114085,21.16909041296115,-97.43340576832293,1073.1074023531935
3,-2.899686963159183,-0.029077008246918723,-0.016218122713509267,10.054330177186188,-99.9151624195982,1084.5215608159522
4,-2.8980490477544625,-0.014981060825409988,-0.03611602250981674,2.303117795596182,-101.64200204355596,1100.706116004303
5,-2.8979186281241645,-0.012461430905777487,0.005129254006023794,-6.166195415252996,-102.29431388946648,1108.99782398884
6,-2.881532201263512,-0.0004625014547116203,0.10054900025286735,-15.389502094233118,-102.22633927028429,1114.0862948645247
7,-2.8797633863133427,0.004899905614042902,0.20329641934807968,-23.791169047421644,-100.57387083620051,1105.091649591036
8,-2.8956807833485456,0.012420794054690609,0.29188043220302,-31.958311428987482,-100.83131657843728,1087.3715662613865
9,-2.882089707949069,0.022927060436872548,0.3577330401481747,-39.792792963042196,-102.36252771235637,1078.956623583777
10,-2.9248715891386037,0.015971300849496762,0.40889135286328193,-47.78619450243793,-105.69138218793347,1083.2974312776046
11,-2.9471487274235617,0.01671466609065275,0.4587784598599547,-52.78939472540683,-106.03709563512723,1072.148095017201
12,-2.936275528527888,-0.0010027751655911552,0.46708521282233556,-54.98990154308132,-105.2478882044274,1082.8789853209516
13,-2.9176256073051907,-0.010930116834126846,0.4235352934898304,-55.29507251595178,-101.85881745993356,1090.5441964992742
14,-2.9016471627647746,-0.02836522100873491,0.34374330294871264,-54.916600589428704,-97.6519604938073,1102.0607745794532
15,-2.8931242693617567,-0.05247183309371521,0.3221506175001213,-56.24600886872342,-93.82363119808811,1113.2438914603295
16,-2.8844755990510462,-0.052293814269390386,0.3124088043803864,-57.74566722439471,-90.4346550616901,1109.0414198908804
17,-2.8637180065681944,-0.03904516519903789,0.3071407146591103,-60.60036261803178,-88.77789063893935,1119.4898128141465
18,-2.877540640682152,-0.030654482295240655,0.3188647348282169,-63.60520579620167,-87.33287984475723,1117.6255273160327
19,-2.8565630107848343,-0.021913788787852162,0.3393455901202576,-66.33025873761976,-84.85703977374422,1113.5895450942614
