frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
0,-0.48936265110969546,-0.5500835418701172,-0.005453262012451887,-0.5346782445907593,-0.5434707641601563,0.006791197694838047
1,-0.4865591287612915,-0.5514578342437744,-0.00600476423278451,-0.5328256726264954,-0.5448853969573975,0.007340765558183193
2,-0.48347018361091615,-0.5515982151031494,-0.005871077533811331,-0.5305644035339355,-0.5447304725646973,0.008484077639877796
3,-0.4810455322265625,-0.5508192539215088,-0.006697918754070997,-0.5278174400329589,-0.5432595252990723,0.008068431168794632
4,-0.47890162467956543,-0.5480724930763244,-0.007587030064314604,-0.5253712892532348,-0.5404526352882385,0.00753830885514617
5,-0.4765098035335541,-0.5475721955299377,-0.007625523954629898,-0.5222252011299133,-0.5394254803657532,0.008046080358326435
6,-0.47417497634887695,-0.5491447567939758,-0.007330379914492369,-0.5193750619888305,-0.5411706447601319,0.008558998815715313
7,-0.4717953324317932,-0.5503000497817994,-0.00796285830438137,-0.5174769997596741,-0.5437530279159546,0.009358556941151619
8,-0.4674234509468079,-0.5480348706245423,-0.007546794135123491,-0.5139962434768677,-0.5418371200561524,0.010081334039568901
9,-0.4595466315746307,-0.5405377149581909,-0.009614730253815651,-0.5042353272438049,-0.535047459602356,0.009165884926915169
10,-0.4552501618862152,-0.5340788841247559,-0.010632695630192757,-0.49920856952667236,-0.5283962249755859,0.0091170035302639
11,-0.450465327501297,-0.5298653602600097,-0.011753610335290432,-0.49415417909622195,-0.5232526302337647,0.009158128872513771
12,-0.447237104177475,-0.5266136407852173,-0.013182521797716618,-0.49007356762886045,-0.521112608909607,0.009736458770930767
13,-0.444434380531311,-0.5246583580970764,-0.014030893333256245,-0.4866655766963959,-0.518842077255249,0.009499418549239635
14,-0.4417432904243469,-0.5228316068649292,-0.014374575577676296,-0.4838733017444611,-0.5172862648963928,0.009676946327090263
15,-0.43972213864326476,-0.5212636590003967,-0.015138383954763412,-0.48181211948394775,-0.5139321923255921,0.008716917596757412
16,-0.4373720049858093,-0.5186862468719482,-0.01491948589682579,-0.47932384014129636,-0.5109069228172303,0.008546165190637112
17,-0.4351406514644623,-0.5164275407791138,-0.015904299914836884,-0.4771896541118622,-0.5074237048625946,0.007756671402603388
18,-0.43210734724998473,-0.5132007598876953,-0.01681663654744625,-0.4744384288787842,-0.503773832321167,0.006318377796560526
19,-0.43002724051475527,-0.5107321977615357,-0.017093079164624214,-0.47170610427856446,-0.5009696841239929,0.005501125007867813
20,-0.4284205973148346,-0.510552990436554,-0.017899133265018463,-0.4700530171394348,-0.5000495553016663,0.005405126605182886
21,-0.4272154808044434,-0.5104568362236023,-0.017521865665912628,-0.46886445879936217,-0.5000701725482941,0.005748074967414141
22,-0.42609903812408445,-0.5128260731697083,-0.016759084537625313,-0.46793912053108216,-0.5029229819774628,0.006127085071057081
