frame,left_gx,left_gy,left_gz,right_gx,right_gy,right_gz
0,-0.47564725279808046,-0.030527885258197784,-0.006381109822541475,-0.5477404117584228,-0.03366514146327972,-0.0018067990895360708
1,-0.4754513561725616,-0.02868528515100479,-0.004750089254230261,-0.5458896398544312,-0.032593780755996705,0.0009905240731313825
2,-0.4745586395263672,-0.0245589941740036,-0.004330181982368231,-0.5455704092979431,-0.030535534769296647,0.00044942996464669704
3,-0.4740006387233734,-0.02146630585193634,-0.00613733334466815,-0.5448627352714539,-0.02713833376765251,-0.001427692943252623
4,-0.473089861869812,-0.020158270746469496,-0.006180847994983196,-0.5446036100387573,-0.025842457264661788,-0.0006126404041424394
5,-0.4723198652267456,-0.020436923205852508,-0.006690161768347025,-0.5439764261245728,-0.026361212879419327,-3.8177354326762725e-06
6,-0.47189022302627565,-0.020628836750984193,-0.006256490014493465,-0.5436235547065735,-0.027089916169643402,0.0004797724832314998
7,-0.47138324975967405,-0.022315691411495208,-0.005460437387228012,-0.5425652623176574,-0.029651230573654173,0.0015252114972099662
8,-0.4706663489341736,-0.024776396900415422,-0.005408819764852524,-0.5417205691337585,-0.03147838562726975,0.0017913111951202154
9,-0.46992753744125365,-0.026657533645629884,-0.005056089721620083,-0.5415691494941711,-0.03392466083168984,0.002079315949231386
10,-0.4699097990989685,-0.028925950825214385,-0.005495135206729174,-0.5411416053771972,-0.03439810574054718,0.0018322841497138143
11,-0.46968130469322206,-0.030061016231775282,-0.004896992351859808,-0.540822196006775,-0.035375365614891054,0.0020642844028770924
12,-0.4698959946632385,-0.03049597442150116,-0.004601189401000738,-0.5411869049072265,-0.03631614968180656,0.001898107468150556
13,-0.4698860466480255,-0.03076442629098892,-0.004744752310216427,-0.5413561344146729,-0.03757046982645988,0.0014448181027546525
14,-0.4707833766937256,-0.0319595567882061,-0.004036654718220234,-0.5413075089454651,-0.03893388882279396,0.0016805259510874748
15,-0.47065558433532717,-0.03167854696512222,-0.003412759630009532,-0.5417975783348083,-0.038587191700935365,0.001653029816225171
16,-0.47214693427085874,-0.03279028534889221,-0.003692369209602475,-0.5428844690322876,-0.03804209157824516,0.0003050216182600707
17,-0.4726585388183594,-0.0327290840446949,-0.0034594363532960415,-0.5440757274627686,-0.03783168718218803,-0.0015386500163003802
18,-0.4749188721179962,-0.02801063805818558,-0.0026837801560759544,-0.5461203336715699,-0.03520517200231552,-0.0033972959499806166
19,-0.4787568986415863,-0.02566048353910446,-0.001745831104926765,-0.5498084783554077,-0.03074191212654114,-0.003829914378002286
20,-0.4816408038139343,-0.023884698748588562,-0.0002784331445582211,-0.553137743473053,-0.02835666611790657,-0.005983286537230015
21,-0.4846030533313751,-0.020763152837753297,0.0004144431441091001,-0.5544908285140991,-0.02682298272848129,-0.006744112819433212
22,-0.4866864562034607,-0.019045743346214294,-0.00010979899525409564,-0.5557785511016846,-0.02595700919628143,-0.009078399278223515
23,-0.4872758507728577,-0.017924346774816514,-0.00012674670142587274,-0.5573259472846985,-0.02508402019739151,-0.00973706878721714
24,-0.4889815866947174,-0.01650335267186165,-0.00037760930717922747,-0.5585253834724426,-0.024769687652587892,-0.01079326681792736
25,-0.48848508596420287,-0.014935857057571411,-0.000364751263987273,-0.5585804343223572,-0.024619375914335252,-0.009788828901946545
26,-0.488266921043396,-0.015060919523239135,-0.0010636403458192945,-0.5583667993545532,-0.025026824325323105,-0.009843247942626476
27,-0.48843384385108946,-0.015941739827394486,-0.0009828382171690464,-0.5571831226348877,-0.02683374360203743,-0.009363118559122086
28,-0.48710612058639524,-0.018346367031335832,-0.0007901792414486408,-0.5555108428001404,-0.02681235745549202,-0.010805548168718815
29,-0.48635842800140383,-0.02013017311692238,-0.0005505264271050692,-0.5543089747428894,-0.027657434344291687,-0.010789215564727783
30,-0.48378257155418397,-0.02094540297985077,-0.001381375826895237,-0.5538395285606384,-0.0279098704457283,-0.011034922674298286
31,-0.4822584629058838,-0.020015200972557066,-0.0014294339343905449,-0.5529940128326416,-0.025897320359945297,-0.009968030266463757
32,-0.480486124753952,-0.018224069476127626,-0.001273816335014999,-0.5513906359672547,-0.02434972897171974,-0.009794240817427635
33,-0.48023106455802916,-0.015804097056388855,-0.0011029968736693263,-0.5513160586357116,-0.02386930361390114,-0.009474345482885838
34,-0.4793842375278473,-0.017234627902507783,-0.0015981484903022647,-0.5504047393798828,-0.023277628421783447,-0.008602963760495186
35,-0.47890121936798097,-0.016724661737680436,-0.001817365875467658,-0.5498040795326233,-0.022028884291648863,-0.007686754688620567
36,-0.4785844683647156,-0.01489262729883194,-0.002248098375275731,-0.5491085052490234,-0.020709434151649476,-0.007809212896972895
37,-0.47807077765464784,-0.01359529122710228,-0.0021239558700472116,-0.5485642910003662,-0.02014751210808754,-0.008349352516233921
38,-0.47736539244651793,-0.013152539730072021,-0.003096741857007146,-0.5481029272079467,-0.01859671324491501,-0.008920533582568169
39,-0.47652244567871094,-0.012498810887336731,-0.003641671733930707,-0.5468157291412353,-0.016690154373645783,-0.008806931786239147
40,-0.4742818057537079,-0.012943873554468155,-0.003038997994735837,-0.5435773015022278,-0.016382620483636857,-0.00932455062866211
41,-0.4735518038272858,-0.013190882652997971,-0.002567467512562871,-0.5436475157737732,-0.01886671856045723,-0.009773079305887222
42,-0.4714908838272095,-0.02183818519115448,-0.0020328445825725794,-0.5421115398406983,-0.02122492268681526,-0.008614806458353996
43,-0.47185549736022947,-0.025968734920024873,-0.0019932633731514215,-0.5403785586357117,-0.024953890591859818,-0.007270897272974253
44,-0.469865483045578,-0.029413654655218124,-0.0011494497302919626,-0.5399437069892883,-0.028700466454029083,-0.0055218106135725975
45,-0.46843829154968264,-0.031542591750621796,-0.0015670718858018517,-0.5397746562957764,-0.03252621740102768,-0.004339924082159996
46,-0.46848443150520325,-0.03335152864456177,-0.0009227516711689532,-0.5391597390174866,-0.035044684261083606,-0.002875179285183549
47,-0.46719872355461123,-0.034909287840127944,-0.0014097365783527493,-0.5383543729782104,-0.03854304701089859,-0.0019972326699644327
48,-0.46600647568702697,-0.03695199117064476,-0.000702105404343456,-0.537113344669342,-0.040351005643606185,-0.0020555199589580297
49,-0.46581892371177674,-0.036663062125444415,-0.00046564789954572916,-0.5367533326148987,-0.04076676815748215,-0.0017983760917559266
50,-0.46547778844833376,-0.03617015853524208,-7.675337838009e-05,-0.536164128780365,-0.04059000685811043,-0.0020924184937030077
51,-0.4643653154373169,-0.03487351313233376,-0.0017664339393377304,-0.5354741334915161,-0.03824964538216591,-0.0017835081089287996
52,-0.4637673318386078,-0.03284092172980309,-0.0023761868942528963,-0.5353196263313293,-0.03560982272028923,-0.002610542578622699
53,-0.4636919856071472,-0.030712398141622542,-0.003494650823995471,-0.5351298809051513,-0.033351591974496844,-0.002898323815315962
54,-0.4635741949081421,-0.028118661791086196,-0.003325077937915921,-0.5353698015213013,-0.03154469206929207,-0.003147538984194398
55,-0.4635423243045807,-0.0268172025680542,-0.004548132419586182,-0.535050630569458,-0.029672859609127043,-0.0024847709573805332
56,-0.46374514102935793,-0.025888276845216752,-0.004142184741795063,-0.5353625535964965,-0.029476239532232284,-0.0019166324054822326
